date,open,high,low,close,sma20,sma50,sma100,sma200,ema8,ema12,ema21,ema55,ema200,RSI,newvalue
2017-10-11,4783.06000000,4881.61000000,4710.00000000,4821.43000000,4257.6314999999995,4222.1386,,,4601.09106315107,4500.874190190669,4360.550882555242,4221.51401948052,,67.53299417028444,bull
2017-10-12,4821.43000000,5439.99000000,4810.16000000,5430.00000000,4349.338,4248.4583999999995,,,4785.293049117498,4643.816622469028,4457.7735295956745,4264.674233070501,,77.14673039812322,bull
2017-10-13,5439.99000000,5846.17000000,5379.84000000,5649.98000000,4442.837,4275.1378,,,4977.445704869166,4798.610988243024,4566.1559359960675,4314.149439032269,,79.50871225114575,bull
2017-10-14,5650.00000000,5900.00000000,5580.01000000,5869.99000000,4553.335499999999,4306.924,,,5175.788881564907,4963.438528513328,4684.68630545097,4369.715173352545,,81.56130291816459,bull
2017-10-15,5855.03000000,5922.30000000,5400.01000000,5709.99000000,4642.7975,4334.375,,,5294.50024121715,5078.292601049739,4777.895732228155,4417.582131447097,,75.62823515159785,bear
2017-10-16,5710.00000000,5788.91000000,5585.19000000,5760.02000000,4736.6810000000005,4363.3752,,,5397.949076502227,5183.173739349779,4867.17975657105,4465.526341038272,,76.21096489370983,bull
2017-10-17,5760.00000000,5774.98000000,5508.63000000,5595.00000000,4806.781000000001,4387.5414,,,5441.7381706128435,5246.5316256036585,4933.345233246409,4505.864686001191,,70.2449279261325,bear
2017-10-18,5595.00000000,5596.00000000,5037.95000000,5512.06000000,4873.659000000001,4406.032999999999,,,5457.36524380999,5287.382144741558,4985.955666587645,4541.800232929721,,67.38948963657086,bear
2017-10-19,5513.00000000,5710.00000000,5490.26000000,5683.90000000,4949.1195,4428.6082,,,5507.706300741103,5348.384891704395,5049.405151443314,4582.589510325088,,70.10127545965658,bull
2017-10-20,5683.31000000,6110.00000000,5600.00000000,6010.01000000,5030.6945,4454.3106,,,5619.329345020858,5450.173369903719,5136.732864948467,4633.568813527763,,74.4444523540767,bull
2017-10-21,6013.72000000,6171.00000000,5850.03000000,6024.97000000,5113.019,4478.1118,,,5709.471712794001,5538.603620687762,5217.481695407698,4683.261713044629,,74.62654259278436,bull
2017-10-22,6003.27000000,6060.00000000,5720.03000000,5950.02000000,5191.5199999999995,4507.6694,,,5762.926887728668,5601.89844827426,5284.076086734271,4728.503080435892,,71.86382477977564,bear
2017-10-23,5975.00000000,6080.00000000,5621.03000000,5915.93000000,5271.8165,4535.8063999999995,,,5796.9275793445195,5650.210994693604,5341.51735157661,4770.9111847060385,,70.58388709697743,bear
2017-10-24,5909.47000000,5925.00000000,5450.00000000,5477.03000000,5335.2385,4563.3448,,,5725.839228379071,5623.567764740742,5353.836683251464,4796.12971382368,,56.605414084507885,bear
2017-10-25,5506.92000000,5704.96000000,5286.98000000,5689.99000000,5405.116499999999,4589.8152,,,5717.872733183722,5633.786570165244,5384.396075683149,4828.053295472834,,60.674913479400814,bull
2017-10-26,5670.10000000,5939.99000000,5650.00000000,5861.77000000,5479.754999999999,4614.6552,,,5749.849903587339,5668.860943985976,5427.793705166499,4864.971749205947,,63.637168075010834,bull
2017-10-27,5861.77000000,5980.00000000,5649.24000000,5768.83000000,5547.0464999999995,4636.1996,,,5754.067702790153,5684.240798757364,5458.797004696818,4897.25240102002,,60.96155396688917,bear
2017-10-28,5768.79000000,5850.02000000,5630.03000000,5719.64000000,5601.028499999999,4664.9364000000005,,,5746.417102170119,5689.68682971777,5482.510004269834,4926.623386697876,,59.53482155818743,bear
2017-10-29,5709.98000000,6189.88000000,5648.01000000,6169.98000000,5670.179999999999,4703.1598,,,5840.542190576759,5763.578086684267,5545.00727660894,4971.028980030095,,67.12143187576434,bull
2017-10-30,6133.01000000,6248.68000000,6030.00000000,6120.50000000,5737.052,4742.9624,,,5902.7550371152565,5818.489150271303,5597.324796917218,5012.0815164575915,,65.66472458009385,bear
2017-10-31,6120.52000000,6498.01000000,6100.00000000,6463.00000000,5819.1305,4788.053000000001,,,6027.25391775631,5917.644665614179,5676.022542652016,5063.900033726964,,70.44599202613739,bull
2017-11-01,6463.00000000,6774.67000000,6338.02000000,6753.98000000,5885.329500000001,4839.8582,,,6188.748602699352,6046.311640135074,5774.018675138197,5124.260032522429,,73.78583315155687,bull
2017-11-02,6753.98000000,7300.00000000,6685.10000000,7019.98000000,5953.8295,4901.3640000000005,,,6373.4666909883845,6196.106772421986,5887.28788648927,5191.9643170752,,76.41026698578185,bull
2017-11-03,7010.31000000,7346.34000000,6923.00000000,7115.04000000,6016.082,4979.8844,,,6538.260759657633,6337.481115126296,5998.901714990246,5260.645591465371,,77.28546102681186,bull
2017-11-04,7115.02000000,7480.99000000,6901.00000000,7357.09000000,6098.437,5053.0262,,,6720.222813067047,6494.344020491481,6122.37337726386,5335.5186060558935,,79.38295054612962,bull
2017-11-05,7357.27000000,7590.25000000,7279.02000000,7345.01000000,6177.6865,5125.6274,,,6859.064410163259,6625.215709646638,6233.522161148963,5407.286155839612,,78.99092029819357,bear
2017-11-06,7345.10000000,7401.00000000,6906.00000000,6960.12000000,6245.942499999999,5190.83,,,6881.521207904757,6676.7394466240785,6299.576510135421,5462.744507416768,,67.54524326384801,bear
2017-11-07,6981.72000000,7198.49000000,6901.00000000,7064.04000000,6323.5415,5251.4106,,,6922.080939481478,6736.324147143451,6369.073191032201,5519.933632151883,,68.85734393245684,bull
2017-11-08,7070.00000000,7770.02000000,6651.00000000,7303.00000000,6404.4965,5319.2698,,,7006.729619596705,6823.50504758292,6453.975628211092,5583.614573860745,,71.69145639709792,bull
2017-11-09,7303.01000000,7392.00000000,7015.00000000,7079.99000000,6457.995499999999,5382.8696,,,7023.00970413077,6862.964271031702,6510.886025646448,5637.056553365718,,65.68381994208048,bear
2017-11-10,7079.00000000,7279.91000000,6255.01000000,6506.98000000,6482.096,5440.809400000001,,,6908.336436546154,6808.197460103748,6510.530932405862,5668.125247888371,,53.32008650415807,bear
